"","ID","name","year","total_enrollment","female","asian","black","hispanic","multi_racial","native_american","white","disability","ESL","poverty","elementary","middle","high","mean_class_size","resp_rate_parent","outsiders_parent","resp_rate_student","outsiders_student","resp_rate_teacher","outsiders_teacher"
"44","03M334","The Anderson School","2020-21",517,0.47,0.333,0.019,0.077,0.122,0,0.449,0.097,0.004,0.11,0.553191489361702,0.350096711798839,0,28.4583333333333,0.27,0.01,0.89,0.11,0.71,0.06
"45","03M415","Wadleigh Secondary School for the Performing & Vis","2020-21",361,0.676,0.008,0.446,0.479,0.008,0.017,0.025,0.213,0.05,0.82,0,0.218836565096953,0.781163434903047,25,0.04,0.27,0.64,0.19,0.72,0.12
"46","03M421","West Prep Academy","2020-21",185,0.454,0.016,0.443,0.454,0.022,0.005,0.059,0.389,0.032,0.83,0,1,0,14.2142857142857,0.11,0.05,0.04,0,0.84,0
"47","03M859","Special Music School","2020-21",298,0.48,0.144,0.074,0.168,0.097,0.01,0.456,0.141,0.01,0.22,0.228187919463087,0.13758389261745,0.600671140939597,13.4444444444444,0.33,0.05,0.37,0.08,0.61,0
"48","03M860","Frederick Douglass Academy II Secondary School","2020-21",336,0.461,0.009,0.628,0.31,0.003,0.024,0.027,0.28,0.068,0.86,0,0.267857142857143,0.732142857142857,15.5,0.19,0.05,0.5,0.19,0.87,0.17
"49","03M862","Mott Hall II","2020-21",393,0.45,0.043,0.262,0.425,0.031,0.003,0.229,0.249,0.048,0.6,0,1,0,21.2142857142857,0.7,0.06,0.91,0.14,0.91,0
"50","04M007","P.S. 007 Samuel Stern","2020-21",357,0.49,0.034,0.291,0.622,0.008,0.011,0.034,0.258,0.109,0.9,0.518207282913165,0.408963585434174,0,19.1666666666667,0.1,0.06,0.5,0.13,0.46,0.08
"51","04M012","Tag Young Scholars","2020-21",578,0.509,0.493,0.111,0.116,0.081,0.014,0.185,0.057,0.017,0.27,0.57439446366782,0.346020761245675,0,25.4444444444444,0.34,0.06,0.8,0.13,0.64,0.11
"52","04M057","James Weldon Johnson","2020-21",617,0.522,0.031,0.224,0.72,0.003,0.013,0.01,0.282,0.147,0.91,0.539708265802269,0.390599675850891,0,16.9210526315789,0.12,0.06,0.76,0.25,0.61,0.22
"53","04M072","The Lexington Academy","2020-21",563,0.471,0.02,0.174,0.764,0.005,0.009,0.028,0.284,0.103,0.89,0.518650088809947,0.396092362344583,0,23.0394736842105,0.01,NA,0.01,NA,0.65,0.14
"54","04M096","P.S. 096 Joseph Lanzetta","2020-21",376,0.476,0.019,0.242,0.684,0.008,0.021,0.027,0.295,0.178,0.93,0.473404255319149,0.449468085106383,0,15.5416666666667,0.51,0.04,0.6,0.13,0.89,0.03
"55","04M108","P.S. 108 Assemblyman Angelo Del Toro Educational C","2020-21",430,0.44,0.021,0.302,0.623,0.007,0.009,0.035,0.288,0.074,0.89,0.5,0.432558139534884,0,19.5757575757576,0.02,0,0.61,0.07,0.87,0.03
